model,imbalance_strategy,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,precision_mean,recall_mean,f1_mean,fit_time_seconds
logistic_regression,class_weight,0.8570022804084099,0.0034833306496328095,0.38093226276082814,0.005330198877487993,0.21568437444703487,0.7497805330909487,0.3349896938605075,1.6
logistic_regression,smote,0.8564317492933766,0.003195608132632939,0.3794150522975301,0.005581130582647249,0.2151821178448358,0.7526482858274873,0.3346722178194203,3.4
random_forest,class_weight,0.8343013620077944,0.0030647315347458936,0.3398048062058387,0.005252446092631223,0.5394736378465451,0.14823548605122708,0.23231289389667112,87.4
random_forest,smote,0.8319549468635508,0.0031919504322355115,0.3210508826433759,0.006172501078647908,0.45538309748195493,0.2566999945618819,0.3281576180317113,172.2
xgboost,class_weight,0.8417183817142065,0.004105868579023798,0.36292275899007587,0.012589479864363203,0.23846080924269075,0.6742295351962773,0.35229940759013206,4.5
xgboost,smote,0.8494607122535458,0.004122581200954461,0.360011011474867,0.010506105214148981,0.5205499905230788,0.2115697516333776,0.3007168080160706,9.1
lightgbm,class_weight,0.8625532584569641,0.0036640663916199918,0.39558837920580314,0.006094564922363315,0.2240436705362709,0.7576358169995572,0.34581865333568473,5.8
lightgbm,smote,0.8564208318909522,0.0037656280661234076,0.37940257951743,0.0050225050922071395,0.5341544258937719,0.23800071472409323,0.32915967087929043,13.3
